time,respiration,apnea_event,hypopnea_event
0.0,-0.1496761682488566,0.0,0.0
0.01,-0.1097283292559419,0.0,0.0
0.02,0.29251596787541523,0.0,0.0
0.03,-0.006552772170979473,0.0,0.0
0.04,0.192335858053838,0.0,0.0
0.05,0.11235723860427733,0.0,0.0
0.06,0.06586247872476672,0.0,0.0
0.07,0.06730693113395672,0.0,0.0
0.08,-0.01439753495494997,0.0,0.0
0.09,0.15580249943649738,0.0,0.0
0.1,0.13626075461849435,0.0,0.0
0.11,0.12825920146552888,0.0,0.0
0.12,0.0065257656459976904,0.0,0.0
0.13,0.1735005258884201,0.0,0.0
0.14,0.23471552324271522,0.0,0.0
0.15,0.31939176352974763,0.0,0.0
0.16,0.39754048481166415,0.0,0.0
0.17,0.3810007564658426,0.0,0.0
0.18,0.29371561909155075,0.0,0.0
0.19,0.4610308138851833,0.0,0.0
0.2,0.3463407333326782,0.0,0.0
0.21,0.3775875479357685,0.0,0.0
0.22,0.4011974745552459,0.0,0.0
0.23,0.3130262658873825,0.0,0.0
0.24,0.3019701824217401,0.0,0.0
0.25,0.4675643422609541,0.0,0.0
0.26,0.39339338988660477,0.0,0.0
0.27,0.34634474057820275,0.0,0.0
0.28,0.5795673645931043,0.0,0.0
0.29,0.2880005553701939,0.0,0.0
0.3,0.3811754263491248,0.0,0.0
0.31,0.453822688180774,0.0,0.0
0.32,0.5042278201868152,0.0,0.0
0.33,0.5247850156978533,0.0,0.0
0.34,0.45753255427466233,0.0,0.0
0.35,0.44426614006017084,0.0,0.0
0.36,0.5539094572589148,0.0,0.0
0.37,0.6652044984923737,0.0,0.0
0.38,0.6401670825783708,0.0,0.0
0.39,0.6086786521977976,0.0,0.0
0.4,0.6322843058502637,0.0,0.0
0.41,0.6692047790853529,0.0,0.0
0.42,0.699798383041768,0.0,0.0
0.43,0.6339276160143352,0.0,0.0
0.44,0.7631475422163613,0.0,0.0
0.45,0.6535294678389394,0.0,0.0
0.46,0.6627678066676278,0.0,0.0
0.47,0.6375956326993536,0.0,0.0
0.48,0.623418857103736,0.0,0.0
0.49,0.8169568937147763,0.0,0.0
0.5,0.6512030461349053,0.0,0.0
0.51,0.6579570631142316,0.0,0.0
0.52,0.6912235184658386,0.0,0.0
0.53,0.7582252105243704,0.0,0.0
0.54,0.8898062298046511,0.0,0.0
0.55,0.7862443092573743,0.0,0.0
0.56,0.9231396167285848,0.0,0.0
0.57,0.8829604778202718,0.0,0.0
0.58,0.7858686910683197,0.0,0.0
0.59,0.9617196463564341,0.0,0.0
0.6,0.7558743966420984,0.0,0.0
0.61,0.7445438006844004,0.0,0.0
0.62,0.8426427152988936,0.0,0.0
0.63,0.9284987611240705,0.0,0.0
0.64,1.1423879542131659,0.0,0.0
0.65,0.9616774711006167,0.0,0.0
0.66,1.0337467780985348,0.0,0.0
0.67,0.8793223675700508,0.0,0.0
0.68,0.7510264918028072,0.0,0.0
0.69,0.8247510040888422,0.0,0.0
0.7,0.9013498854972357,0.0,0.0
0.71,0.6187834158846229,0.0,0.0
0.72,0.9230983843327288,0.0,0.0
0.73,1.0605842533699252,0.0,0.0
0.74,0.9815099420496948,0.0,0.0
